purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
DODGE,CHALLENGER,2009,20001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Food Scientists and Technologists,1
PONTIAC,SOLSTICE,2006,10001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Anthropologists and Archeologists,1
CHRYSLER,300 C SRT,2006,20001.0,1,1,60001 - 80000,M,Forties,UNITED STATES,Registered Nurses,1
DODGE,CHALLENGER,2010,20001.0,1,1,100001 - 120000,M,Thirties,UNITED STATES,Optometrists,1
HONDA,CIVIC,2008,15001.0,1,1,60001 - 80000,M,Twenties,JAPAN,Web Developers and Digital Interface Designers,1
HONDA,ACCORD,2012,20001.0,0,1,60001 - 80000,M,Sixties,JAPAN,Magnetic Resonance Imaging Technologists,1
HONDA,ACCORD,2011,15001.0,0,1,60001 - 80000,M,Forties,JAPAN,"Chemistry Teachers, Postsecondary",1
HYUNDAI,VELOSTER,2012,15001.0,1,1,100001 - 120000,M,Fifties,SOUTH KOREA,Miscellaneous Physical Scientists,1
HONDA,CIVIC,2012,15001.0,1,0,100001 - 120000,F,Unknown,JAPAN,Computer Hardware Engineers,1
HONDA,CIVIC,2010,10001.0,0,1,60001 - 80000,M,Thirties,JAPAN,Subway and Streetcar Operators,1
HONDA,ACCORD,2009,15001.0,0,1,100001 - 120000,F,Thirties,JAPAN,Public Relations and Fundraising Managers,1
HONDA,ACCORD,2010,15001.0,1,1,60001 - 80000,M,Forties,JAPAN,Railroad Conductors and Yardmasters,1
HONDA,ACCORD,2010,15001.0,1,1,160001 - 180000,F,Fifties,JAPAN,"Pediatricians, General",1
HONDA,ACCORD,2010,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Public Relations Specialists,1
HONDA,ACCORD,2008,15001.0,1,1,60001 - 80000,M,Twenties,JAPAN,"Special Education Teachers, All Other",1
HONDA,ACCORD,2011,20001.0,1,1,60001 - 80000,F,Thirties,JAPAN,"Artists and Related Workers, All Other",1
HONDA,ACCORD,2011,15001.0,1,1,60001 - 80000,F,Fifties,JAPAN,Dietitians and Nutritionists,1
NISSAN,350Z,2009,25001.0,1,1,100001 - 120000,F,Thirties,JAPAN,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1
NISSAN,350Z,2006,20001.0,0,1,60001 - 80000,F,Fifties,JAPAN,First-Line Supervisors of Construction Trades and Extraction Workers,1
HONDA,CIVIC,2010,15001.0,1,1,60001 - 80000,F,Twenties,JAPAN,Technical Writers,1
HONDA,CIVIC,2011,15001.0,1,1,60001 - 80000,M,Fifties,JAPAN,"Architects, Except Naval",1
HONDA,ACCORD,2011,20001.0,1,1,80001 - 100000,F,Sixties,JAPAN,Operations Research Analysts,1
HONDA,CIVIC,2013,20001.0,1,1,200001+,F,Thirties,JAPAN,General Internal Medicine Physicians,1
HONDA,ACCORD,2008,15001.0,0,1,100001 - 120000,M,Thirties,JAPAN,Mathematicians,1
SCION,TC,2008,10001.0,0,1,60001 - 80000,F,Forties,UNITED STATES,"Life Scientists, All Other",1
HONDA,ACCORD,2010,15001.0,0,1,60001 - 80000,F,Forties,JAPAN,"Electrical and Electronics Installers and Repairers, Transportation Equipment",1
HONDA,ACCORD,2012,15001.0,1,1,200001+,F,Sixties,JAPAN,General Internal Medicine Physicians,1
HONDA,ACCORD,2010,15001.0,0,1,80001 - 100000,F,Thirties,JAPAN,"Life Sciences Teachers, Postsecondary",1
HONDA,ACCORD,2010,15001.0,1,1,100001 - 120000,F,Thirties,JAPAN,Mathematicians,1
HONDA,ACCORD,2012,20001.0,1,1,160001 - 180000,F,Forties,JAPAN,Nurse Anesthetists,1
HONDA,CIVIC,2012,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,"Special Education Teachers, Middle School",1
SATURN,SKY,2007,15001.0,1,1,60001 - 80000,M,Twenties,UNITED STATES,"Supervisors of Installation, Maintenance, and Repair Workers",1
HONDA,ACCORD,2011,15001.0,1,1,60001 - 80000,U,Twenties,JAPAN,"Social Sciences Teachers, Postsecondary, All Other",1
PONTIAC,SOLSTICE,2007,15001.0,1,1,60001 - 80000,M,Thirties,UNITED STATES,First-Line Supervisors of Firefighting and Prevention Workers,1
HONDA,ACCORD,2010,15001.0,1,1,60001 - 80000,F,UnderTwenty,JAPAN,Credit Analysts,1
HONDA,ACCORD,2006,10001.0,0,1,60001 - 80000,F,Forties,JAPAN,Chemists and Materials Scientists,1
HONDA,CIVIC,2009,10001.0,1,1,80001 - 100000,M,Thirties,JAPAN,Art Directors,1
HONDA,ACCORD,2010,15001.0,1,1,60001 - 80000,M,Fifties,JAPAN,First-Line Supervisors of Correctional Officers,1
HONDA,ACCORD,2010,15001.0,0,1,80001 - 100000,F,Twenties,JAPAN,"Education Administrators, All Other",1
HONDA,ACCORD,2011,10001.0,0,1,60001 - 80000,M,Fifties,JAPAN,Plant and System Operators,1
HONDA,ACCORD,2009,15001.0,1,1,60001 - 80000,F,Forties,JAPAN,Ship Engineers,1
HONDA,ACCORD,2010,15001.0,0,1,80001 - 100000,M,Forties,JAPAN,Architecture and Engineering Occupations,1
HONDA,ACCORD,2010,10001.0,1,1,100001 - 120000,M,Forties,JAPAN,Aerospace Engineers,1
HONDA,ACCORD,2010,15001.0,1,1,80001 - 100000,M,Sixties,JAPAN,Atmospheric and Space Scientists,1
HONDA,ACCORD,2007,15001.0,0,1,80001 - 100000,M,Forties,JAPAN,Administrative Services and Facilities Managers,1
HONDA,ACCORD,2011,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,"Secondary School Teachers, Except Special and Career/Technical Education",1
HYUNDAI,VELOSTER,2012,15001.0,0,1,100001 - 120000,M,Fifties,SOUTH KOREA,Nurse Practitioners,1
