,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
0,FORD,F150,2007,15001.0,0,0,0 - 20000,F,Fifties,UNITED STATES,"Entertainers and Performers, Sports and Related Workers",3
4,NISSAN,FRONTIER,2009,20001.0,0,1,40001 - 60000,F,Twenties,JAPAN,Real Estate Sales Agents,3
19,DODGE,RAM 1500,2012,20001.0,0,1,100001 - 120000,F,Fifties,UNITED STATES,Top Executives,3
28,CHEVROLET,SILVERADO 1500,2003,10001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",3
32,NISSAN,FRONTIER,2011,15001.0,0,0,?,F,Seventies,JAPAN,"Arbitrators, Mediators, and Conciliators",3
38,FORD,F150,2009,25001.0,0,1,40001 - 60000,F,Forties,UNITED STATES,"Property, Real Estate, and Community Association Managers",3
48,GMC,SIERRA 1500,2011,15001.0,1,1,60001 - 80000,U,Forties,UNITED STATES,Transportation Inspectors,3
51,CHEVROLET,SILVERADO 1500,2011,25001.0,0,1,40001 - 60000,F,Thirties,UNITED STATES,"Dispatchers, Except Police, Fire, and Ambulance",3
52,DODGE,DAKOTA,2007,10001.0,1,1,0 - 20000,F,Sixties,UNITED STATES,Miscellaneous Protective Service Workers,3
56,GMC,SIERRA 2500,2006,20001.0,0,1,80001 - 100000,U,Twenties,UNITED STATES,Miscellaneous Engineers,3
63,DODGE,DAKOTA,2006,10001.0,1,1,20001 - 40000,U,Seventies,UNITED STATES,"Graders and Sorters, Agricultural Products",3
73,FORD,F150,2010,15001.0,1,0,?,F,Fifties,UNITED STATES,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",3
74,FORD,F150,2011,30001.0,0,1,80001 - 100000,F,Forties,UNITED STATES,Information Security Analysts,3
81,FORD,F150,2008,15001.0,1,1,60001 - 80000,F,Thirties,UNITED STATES,"Chemistry Teachers, Postsecondary",3
83,NISSAN,TITAN,2005,15001.0,1,1,40001 - 60000,F,Thirties,JAPAN,Water Transportation Workers,3
85,DODGE,RAM 2500,2011,25001.0,1,1,60001 - 80000,F,Thirties,UNITED STATES,Ship Engineers,3
91,FORD,F150,2006,20001.0,1,1,200001+,F,Forties,UNITED STATES,General Internal Medicine Physicians,3
92,CHEVROLET,SILVERADO 1500,2009,20001.0,0,1,40001 - 60000,F,Twenties,UNITED STATES,Wind Turbine Service Technicians,3
104,FORD,F250,2012,30001.0,1,1,100001 - 120000,F,Thirties,UNITED STATES,Actuaries,3
106,CHEVROLET,SILVERADO 1500,2007,10001.0,0,1,20001 - 40000,F,Twenties,UNITED STATES,"Office Machine Operators, Except Computer",3
109,TOYOTA,TACOMA,2010,20001.0,0,0,0 - 20000,F,Forties,JAPAN,Gambling and Sports Book Writers and Runners,3
114,TOYOTA,TACOMA,2006,15001.0,0,1,40001 - 60000,F,Forties,JAPAN,Athletes and Sports Competitors,3
117,DODGE,RAM 1500,2012,25001.0,1,0,40001 - 60000,F,Thirties,UNITED STATES,Healthcare Social Workers,3
121,FORD,RANGER,2008,15001.0,0,1,20001 - 40000,F,Forties,UNITED STATES,Security Guards and Gambling Surveillance Officers,3
122,FORD,RANGER,2006,5001.0,0,1,20001 - 40000,F,Forties,UNITED STATES,Stockers and Order Fillers,3
123,NISSAN,TITAN,2012,20001.0,1,1,40001 - 60000,F,Fifties,JAPAN,Miscellaneous Information and Record Clerks,3
140,CHEVROLET,AVALANCHE 1500,2002,10001.0,0,1,60001 - 80000,F,Thirties,UNITED STATES,Gas Compressor and Gas Pumping Station Operators,3
157,TOYOTA,TUNDRA,2012,25001.0,0,1,80001 - 100000,F,Forties,JAPAN,Database and Network Administrators and Architects,3
