,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
15,DODGE,JOURNEY,2011,15001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Bailiffs,1
21,TOYOTA,HIGHLANDER,2008,15001.0,0,1,60001 - 80000,M,Forties,JAPAN,"Farmers, Ranchers, and Other Agricultural Managers",1
22,HONDA,PILOT,2011,20001.0,0,1,140001 - 160000,M,Thirties,JAPAN,Computer and Information Systems Managers,1
25,DODGE,JOURNEY,2009,15001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,"Mathematical Science Teachers, Postsecondary",1
33,HONDA,PILOT,2012,30001.0,0,1,100001 - 120000,F,Forties,JAPAN,Optometrists,1
43,DODGE,JOURNEY,2012,15001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Bus and Truck Mechanics and Diesel Engine Specialists,1
46,TOYOTA,RAV4,2007,10001.0,0,1,60001 - 80000,F,Thirties,JAPAN,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1
48,NISSAN,MURANO,2007,10001.0,0,1,60001 - 80000,F,Fifties,JAPAN,Construction and Building Inspectors,1
51,MAZDA,CX-9,2012,20001.0,0,1,40001 - 60000,M,Thirties,JAPAN,"Life, Physical, and Social Science Technicians, All Other",1
52,NISSAN,XTERRA,2006,15001.0,0,1,40001 - 60000,M,Forties,JAPAN,Glaziers,1
63,BMW,X5,2008,30001.0,0,1,40001 - 60000,U,Sixties,GERMANY,"Meeting, Convention, and Event Planners",1
69,TOYOTA,HIGHLANDER,2006,15001.0,0,1,0 - 20000,F,Sixties,JAPAN,"Hairdressers, Hairstylists, and Cosmetologists",1
78,HONDA,PILOT,2011,25001.0,0,1,40001 - 60000,F,Forties,JAPAN,Parking Enforcement Workers,1
92,NISSAN,ROGUE,2011,15001.0,0,1,80001 - 100000,M,Sixties,JAPAN,"Education Administrators, Kindergarten through Secondary",1
