,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
0,DODGE,CHARGER,2012,15001.0,1,1,40001 - 60000,U,Twenties,UNITED STATES,"Life, Physical, and Social Science Technicians, All Other",3
10,FORD,FOCUS,2012,10001.0,1,1,80001 - 100000,M,Thirties,UNITED STATES,"Education Administrators, Kindergarten through Secondary",3
11,SATURN,ION,2006,10001.0,1,1,20001 - 40000,U,Forties,UNITED STATES,Industrial Truck and Tractor Operators,3
15,CHEVROLET,IMPALA,2009,10001.0,0,1,20001 - 40000,M,Thirties,UNITED STATES,Security Guards and Gambling Surveillance Officers,3
18,CHEVROLET,COBALT,2007,5001.0,0,1,80001 - 100000,M,Forties,UNITED STATES,Atmospheric and Space Scientists,3
20,CADILLAC,DTS,2008,20001.0,0,1,60001 - 80000,F,Sixties,UNITED STATES,First-Line Supervisors of Production and Operating Workers,3
23,CHEVROLET,MALIBU,2012,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Food Processing Workers,3
26,DODGE,AVENGER,2012,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3
31,CHEVROLET,IMPALA,2011,10001.0,0,1,0 - 20000,F,Twenties,UNITED STATES,Etchers and Engravers,3
39,CHEVROLET,AVEO,2011,10001.0,0,1,20001 - 40000,M,Sixties,UNITED STATES,Adhesive Bonding Machine Operators and Tenders,3
43,FORD,FOCUS,2003,5001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Other Office and Administrative Support Workers,3
48,BMW,325,2003,10001.0,0,1,100001 - 120000,M,Fifties,GERMANY,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",3
59,CHEVROLET,MALIBU,2012,10001.0,1,1,80001 - 100000,M,Forties,UNITED STATES,Information Security Analysts,3
61,VOLKSWAGEN,JETTA,2011,15001.0,0,1,40001 - 60000,M,Twenties,GERMANY,Flight Attendants,3
64,DODGE,CHARGER,2012,20001.0,0,1,80001 - 100000,M,Thirties,UNITED STATES,Bioengineers and Biomedical Engineers,3
66,CHEVROLET,MALIBU,2010,10001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Supervisors of Transportation and Material Moving Workers,3
80,CHEVROLET,MALIBU,2012,10001.0,1,1,20001 - 40000,F,Twenties,UNITED STATES,Merchandise Displayers and Window Trimmers,3
83,CHEVROLET,MALIBU HYBRID,2008,10001.0,1,1,20001 - 40000,F,Fifties,UNITED STATES,"Preschool Teachers, Except Special Education",3
89,VOLKSWAGEN,JETTA,2012,10001.0,0,1,20001 - 40000,F,Thirties,GERMANY,"Crematory Operators and Personal Care and Service Workers, All Other",3
94,BUICK,LACROSSE,2012,20001.0,0,1,80001 - 100000,F,Forties,UNITED STATES,"Education Administrators, All Other",3
97,CHEVROLET,IMPALA,2012,15001.0,1,1,0 - 20000,M,Sixties,UNITED STATES,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",3
