purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
MINI,COOPER,2009,10001.0,1,1,100001 - 120000,M,Twenties,UNITED KINGDOM,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",3
SCION,XB,2013,15001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,"Education Teachers, Postsecondary",3
SCION,XD,2010,10001.0,1,1,100001 - 120000,M,Sixties,UNITED STATES,Nurse Practitioners,3
INFINITI,FX35,2009,30001.0,1,1,0 - 20000,F,Sixties,JAPAN,"School Bus Monitors and Protective Service Workers, All Other",3
JEEP,LIBERTY,2012,15001.0,1,1,200001+,M,Fifties,UNITED STATES,Family Medicine Physicians,3
TOYOTA,PRIUS,2010,15001.0,0,1,80001 - 100000,M,Forties,JAPAN,Power Distributors and Dispatchers,3
MINI,COOPER,2010,15001.0,1,1,140001 - 160000,M,Fifties,UNITED KINGDOM,Architectural and Engineering Managers,3
JEEP,LIBERTY,2012,20001.0,1,1,80001 - 100000,M,Sixties,UNITED STATES,Bioengineers and Biomedical Engineers,3
INFINITI,FX35,2012,35001.0,1,1,140001 - 160000,M,Twenties,JAPAN,Architectural and Engineering Managers,3
JEEP,LIBERTY,2011,15001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,"Farmers, Ranchers, and Other Agricultural Managers",3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,"Social Work Teachers, Postsecondary",3
VOLKSWAGEN,GTI,2012,20001.0,0,1,200001+,M,Thirties,GERMANY,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
VOLVO,V50,2009,20001.0,1,1,200001+,M,Twenties,SWEDEN,General Internal Medicine Physicians,3
VOLKSWAGEN,GTI,2010,15001.0,1,1,60001 - 80000,M,Twenties,GERMANY,Writers and Authors,3
TOYOTA,PRIUS,2010,20001.0,1,1,60001 - 80000,M,Forties,JAPAN,"Sales Representatives, Wholesale and Manufacturing",3
BMW,135,2008,20001.0,0,1,60001 - 80000,M,Twenties,GERMANY,Conservation Scientists and Foresters,3
INFINITI,FX35,2007,20001.0,0,1,120001 - 140000,U,Forties,JAPAN,Sales Managers,3
JEEP,LIBERTY,2008,15001.0,1,1,60001 - 80000,F,Forties,UNITED STATES,Therapists,3
TOYOTA,PRIUS,2007,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Dietitians and Nutritionists,3
INFINITI,FX35,2010,30001.0,1,1,120001 - 140000,M,Thirties,JAPAN,Astronomers and Physicists,3
NISSAN,CUBE,2012,10001.0,1,1,80001 - 100000,M,Forties,JAPAN,"Environmental Science Teachers, Postsecondary",3
TOYOTA,PRIUS,2011,20001.0,0,1,200001+,M,Thirties,JAPAN,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
