,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
6,DODGE,RAM 1500,2007,10001.0,1,1,40001 - 60000,M,Fifties,UNITED STATES,"Counselors, All Other",4
9,DODGE,RAM 1500,2006,15001.0,0,1,200001+,M,Fifties,UNITED STATES,"Physicians, All Other; and Ophthalmologists, Except Pediatric",4
20,DODGE,RAM 1500,2004,15001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,"Human Resources Assistants, Except Payroll and Timekeeping",4
25,DODGE,RAM 1500,2008,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,"Switchboard Operators, Including Answering Service",4
29,DODGE,RAM 1500,2012,25001.0,0,0,?,U,Twenties,UNITED STATES,Boilermakers,4
30,DODGE,RAM 1500,2007,20001.0,0,1,0 - 20000,M,Seventies,UNITED STATES,"Cutters and Trimmers, Hand",4
36,DODGE,RAM 1500,2009,15001.0,1,1,20001 - 40000,M,Forties,UNITED STATES,"Switchboard Operators, Including Answering Service",4
40,DODGE,RAM 1500,2013,20001.0,0,0,20001 - 40000,M,Thirties,UNITED STATES,Recreation Workers,4
45,DODGE,RAM 1500,2013,25001.0,1,1,0 - 20000,M,Sixties,UNITED STATES,Bartenders,4
64,DODGE,RAM 3500,2009,30001.0,1,1,60001 - 80000,U,Fifties,UNITED STATES,Accountants and Auditors,4
78,DODGE,RAM 1500,2008,20001.0,0,1,80001 - 100000,M,Forties,UNITED STATES,Sociologists,4
110,DODGE,RAM 2500,2003,10001.0,0,0,?,M,Fifties,UNITED STATES,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",4
118,DODGE,RAM 1500,2010,15001.0,0,1,60001 - 80000,M,Fifties,UNITED STATES,"Farmers, Ranchers, and Other Agricultural Managers",4
133,DODGE,RAM 1500,2011,25001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Instructional Coordinators,4
136,DODGE,RAM 1500,2010,25001.0,0,0,0 - 20000,M,Forties,UNITED STATES,Motion Picture Projectionists,4
139,DODGE,RAM 1500,2008,15001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Reinforcing Iron and Rebar Workers,4
141,DODGE,RAM 1500,2012,20001.0,1,0,80001 - 100000,M,Fifties,UNITED STATES,Power Distributors and Dispatchers,4
150,DODGE,RAM 1500,2011,20001.0,1,1,40001 - 60000,M,Forties,UNITED STATES,Traffic Technicians,4
