purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
CHEVROLET,CAPTIVA SPORT,2012,20001.0,1,1,40001 - 60000,M,Forties,UNITED STATES,Engine and Other Machine Assemblers,4
JEEP,LIBERTY,2012,15001.0,0,1,40001 - 60000,F,Thirties,UNITED STATES,"Metal Furnace Operators, Tenders, Pourers, and Casters",4
TOYOTA,YARIS,2012,10001.0,0,1,40001 - 60000,F,Forties,JAPAN,Food Service Managers,4
TOYOTA,YARIS,2013,15001.0,0,1,40001 - 60000,U,Twenties,JAPAN,"Production, Planning, and Expediting Clerks",4
BMW,128,2010,20001.0,0,1,40001 - 60000,U,Twenties,GERMANY,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",4
TOYOTA,PRIUS,2010,15001.0,0,1,20001 - 40000,F,Twenties,JAPAN,Musical Instrument Repairers and Tuners,4
TOYOTA,PRIUS,2010,15001.0,1,1,20001 - 40000,U,Sixties,JAPAN,"Sawing Machine Setters, Operators, and Tenders, Wood",4
JEEP,LIBERTY,2008,15001.0,0,1,40001 - 60000,F,Sixties,UNITED STATES,"Kindergarten Teachers, Except Special Education",4
VOLKSWAGEN,GOLF,2012,20001.0,1,1,20001 - 40000,M,Fifties,GERMANY,Food Preparation and Serving Related Occupations,4
TOYOTA,PRIUS,2013,25001.0,1,1,40001 - 60000,M,Twenties,JAPAN,Proofreaders and Copy Markers,4
TOYOTA,PRIUS,2009,15001.0,1,1,40001 - 60000,F,Fifties,JAPAN,Extraction Workers,4
JEEP,LIBERTY,2011,10001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Property Appraisers and Assessors,4
SUBARU,OUTBACK,2011,15001.0,1,1,40001 - 60000,F,Twenties,JAPAN,Licensed Practical and Licensed Vocational Nurses,4
JEEP,LIBERTY,2010,15001.0,0,1,20001 - 40000,M,Forties,UNITED STATES,Timing Device Assemblers and Adjusters,4
MAZDA,MAZDA2,2012,10001.0,1,1,20001 - 40000,F,Forties,JAPAN,Conveyor Operators and Tenders,4
LEXUS,CT 200H,2012,25001.0,1,1,40001 - 60000,F,Forties,JAPAN,Painters and Paperhangers,4
JEEP,LIBERTY,2011,15001.0,1,1,40001 - 60000,F,Thirties,UNITED STATES,"Paving, Surfacing, and Tamping Equipment Operators",4
TOYOTA,PRIUS,2010,15001.0,0,1,40001 - 60000,U,Twenties,JAPAN,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4
CHEVROLET,CAPTIVA SPORT,2013,20001.0,1,1,20001 - 40000,F,Twenties,UNITED STATES,"Cooks, All Other",4
