purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
NISSAN,ARMADA,2006,15001.0,1,1,60001 - 80000,F,Forties,JAPAN,Compliance Officers,3
TOYOTA,RAV4,2007,5001.0,0,0,?,M,Twenties,JAPAN,Merchandise Displayers and Window Trimmers,3
CHEVROLET,HHR,2008,10001.0,1,1,80001 - 100000,M,Forties,UNITED STATES,"Mining and Geological Engineers, Including Mining Safety Engineers",3
DODGE,DURANGO,2004,15001.0,1,1,0 - 20000,F,Thirties,UNITED STATES,Etchers and Engravers,3
CHEVROLET,TRAILBLAZER,2006,10001.0,1,1,40001 - 60000,U,Thirties,UNITED STATES,Loan Interviewers and Clerks,3
NISSAN,MURANO,2007,10001.0,0,1,60001 - 80000,F,Fifties,JAPAN,Construction and Building Inspectors,3
NISSAN,XTERRA,2006,15001.0,0,1,40001 - 60000,M,Forties,JAPAN,Glaziers,3
JEEP,GRAND CHEROKEE,2006,15001.0,1,1,20001 - 40000,M,Forties,UNITED STATES,"Maintenance and Repair Workers, General",3
TOYOTA,HIGHLANDER,2006,15001.0,0,1,0 - 20000,F,Sixties,JAPAN,"Hairdressers, Hairstylists, and Cosmetologists",3
CHEVROLET,TAHOE,2003,10001.0,0,1,60001 - 80000,F,Forties,UNITED STATES,"History Teachers, Postsecondary",3
SUBARU,FORESTER,2005,10001.0,1,1,40001 - 60000,M,Forties,JAPAN,Embalmers,3
SATURN,VUE,2007,5001.0,0,1,0 - 20000,F,Thirties,UNITED STATES,Laborers and Material Movers,3
FORD,EXPEDITION,2004,10001.0,1,0,?,M,Thirties,UNITED STATES,Mathematical Science Occupations,3
CHEVROLET,EQUINOX,2005,10001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Jewelers and Precious Stone and Metal Workers,3
ACURA,RDX,2007,15001.0,0,1,20001 - 40000,U,Thirties,JAPAN,"Cooks, Short Order",3
MAZDA,CX-9,2007,15001.0,0,1,60001 - 80000,M,Thirties,JAPAN,Human Resources Specialists,3
HONDA,ELEMENT,2006,15001.0,1,1,40001 - 60000,M,Thirties,JAPAN,Cardiovascular Technologists and Technicians,3
FORD,EDGE,2007,15001.0,0,1,40001 - 60000,F,Forties,UNITED STATES,Insurance Claims and Policy Processing Clerks,3
CHEVROLET,TAHOE,2005,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Personal Appearance Workers,3
TOYOTA,4RUNNER,2005,10001.0,1,1,0 - 20000,M,Forties,JAPAN,Other Food Preparation and Serving Related Workers,3
FORD,EXPLORER,2007,15001.0,1,1,140001 - 160000,F,Sixties,UNITED STATES,"Dentists, General",3
NISSAN,PATHFINDER,2005,10001.0,0,1,40001 - 60000,M,Forties,JAPAN,Forensic Science Technicians,3
FORD,EXPLORER SPORT,2003,5001.0,1,1,0 - 20000,M,Fifties,UNITED STATES,Craft Artists,3
ACURA,MDX,2003,10001.0,0,1,20001 - 40000,F,Twenties,JAPAN,"Ushers, Lobby Attendants, and Ticket Takers",3
GMC,ENVOY,2004,5001.0,0,0,?,M,UnderTwenty,UNITED STATES,General Internal Medicine Physicians,3
NISSAN,PATHFINDER,2007,10001.0,0,1,60001 - 80000,M,Thirties,JAPAN,"Career/Technical Education Teachers, Secondary School",3
HONDA,CR-V,2008,10001.0,0,1,20001 - 40000,U,Forties,JAPAN,Tour and Travel Guides,3
CADILLAC,SRX,2004,15001.0,0,0,20001 - 40000,M,Forties,UNITED STATES,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",3
JEEP,COMMANDER,2006,10001.0,0,1,40001 - 60000,F,Thirties,UNITED STATES,Religious Workers,3
CHEVROLET,TRAILBLAZER,2008,10001.0,0,1,20001 - 40000,U,Thirties,UNITED STATES,Floral Designers,3
TOYOTA,SEQUOIA,2002,10001.0,1,1,80001 - 100000,F,Forties,JAPAN,Environmental Engineers,3
CHEVROLET,TRAILBLAZER EXT,2005,10001.0,0,0,0 - 20000,U,Twenties,UNITED STATES,Building and Grounds Cleaning and Maintenance Occupations,3
NISSAN,MURANO,2006,10001.0,0,1,20001 - 40000,U,Thirties,JAPAN,"Gambling Service Workers, All Other",3
CHEVROLET,EQUINOX,2007,10001.0,0,1,0 - 20000,F,Fifties,UNITED STATES,Healthcare Support Occupations,3
JEEP,GRAND CHEROKEE,2005,15001.0,0,0,?,M,Fifties,UNITED STATES,Tour and Travel Guides,3
HONDA,CR-V,2007,15001.0,0,1,20001 - 40000,U,Twenties,JAPAN,Construction Laborers,3
TOYOTA,HIGHLANDER,2005,10001.0,0,1,200001+,F,Fifties,JAPAN,General Internal Medicine Physicians,3
FORD,ESCAPE,2007,10001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,"Miscellaneous Sales Representatives, Services",3
FORD,FREESTYLE,2005,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Order Clerks,3
TOYOTA,4RUNNER,2002,10001.0,0,1,20001 - 40000,M,Forties,JAPAN,"Library Assistants, Clerical",3
NISSAN,XTERRA,2005,10001.0,0,1,20001 - 40000,M,Twenties,JAPAN,Tour and Travel Guides,3
CHEVROLET,TRAILBLAZER,2005,10001.0,1,0,20001 - 40000,U,Thirties,UNITED STATES,Animal Control Workers,3
CHEVROLET,TAHOE,2004,10001.0,0,1,20001 - 40000,U,Twenties,UNITED STATES,Miscellaneous Food Preparation and Serving Related Workers,3
HONDA,CR-V,2005,10001.0,0,1,0 - 20000,F,Forties,JAPAN,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3
NISSAN,MURANO,2003,10001.0,1,1,20001 - 40000,F,Twenties,JAPAN,Food Preparation Workers,3
FORD,ESCAPE,2005,10001.0,0,1,0 - 20000,M,Twenties,UNITED STATES,Animal Caretakers,3
INFINITI,QX56,2005,15001.0,0,1,40001 - 60000,F,Forties,JAPAN,"Credit Authorizers, Checkers, and Clerks",3
GMC,ACADIA,2007,20001.0,0,1,80001 - 100000,M,Thirties,UNITED STATES,Bioengineers and Biomedical Engineers,3
CHEVROLET,SUBURBAN 1500,2007,15001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,"Environmental Scientists and Specialists, Including Health",3
HONDA,CR-V,2006,10001.0,1,1,140001 - 160000,M,Fifties,JAPAN,Computer and Information Systems Managers,3
CHEVROLET,EQUINOX,2007,15001.0,1,1,40001 - 60000,M,Sixties,UNITED STATES,Health Education Specialists,3
CHEVROLET,TAHOE,2007,20001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Crossing Guards and Flaggers,3
NISSAN,XTERRA,2007,10001.0,0,1,20001 - 40000,M,Fifties,JAPAN,"Umpires, Referees, and Other Sports Officials",3
CHEVROLET,TRAILBLAZER,2003,10001.0,0,1,20001 - 40000,U,Twenties,UNITED STATES,Passenger Attendants,3
TOYOTA,HIGHLANDER,2003,10001.0,0,1,20001 - 40000,F,Twenties,JAPAN,Pest Control Workers,3
MERCEDES-BENZ,ML500,2006,20001.0,1,1,120001 - 140000,M,Thirties,GERMANY,Financial Managers,3
SUZUKI,GRAND VITARA,2006,10001.0,1,1,20001 - 40000,M,Forties,JAPAN,Emergency Medical Technicians and Paramedics,3
