purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
GMC,SIERRA 1500,2009,20001.0,1,1,40001 - 60000,M,Sixties,UNITED STATES,"Insulation Workers, Mechanical",0
CHEVROLET,SILVERADO 1500,2007,15001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,"Middle School Teachers, Except Special and Career/Technical Education",0
GMC,SIERRA 1500,2006,20001.0,0,1,80001 - 100000,M,Thirties,UNITED STATES,Miscellaneous Computer Occupations,0
CHEVROLET,SILVERADO 1500,2003,10001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0
GMC,SIERRA 1500,2012,20001.0,0,1,40001 - 60000,M,Sixties,UNITED STATES,Sailors and Marine Oilers,0
CHEVROLET,SILVERADO 1500,2006,10001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,"Sociology Teachers, Postsecondary",0
GMC,SIERRA 1500,2011,15001.0,1,1,60001 - 80000,U,Forties,UNITED STATES,Transportation Inspectors,0
CHEVROLET,SILVERADO 1500,2013,25001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Magnetic Resonance Imaging Technologists,0
CHEVROLET,SILVERADO 1500,2011,25001.0,0,1,40001 - 60000,F,Thirties,UNITED STATES,"Dispatchers, Except Police, Fire, and Ambulance",0
CHEVROLET,AVALANCHE 1500,2006,15001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,"Inspectors, Testers, Sorters, Samplers, and Weighers",0
CHEVROLET,SILVERADO 1500,2012,20001.0,1,1,140001 - 160000,M,Thirties,UNITED STATES,"Dentists, All Other Specialists",0
CHEVROLET,SILVERADO 1500,2008,20001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Advertising Sales Agents,0
CHEVROLET,SILVERADO 1500,2010,20001.0,1,0,?,M,Thirties,UNITED STATES,"Tax Examiners, Collectors and Preparers, and Revenue Agents",0
