,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
14,MERCEDES-BENZ,C250,2012,25001.0,0,0,0 - 20000,M,Forties,GERMANY,Crossing Guards and Flaggers,3
27,MERCEDES-BENZ,C250,2013,25001.0,0,1,140001 - 160000,M,Twenties,GERMANY,Architectural and Engineering Managers,3
28,PORSCHE,911,2007,50001.0,1,0,?,M,Seventies,GERMANY,Industrial-Organizational Psychologists,3
33,DODGE,CHALLENGER SRT-8,2011,35001.0,1,1,40001 - 60000,M,Forties,UNITED STATES,Postal Service Clerks,3
54,LEXUS,SC 430,2006,25001.0,1,1,60001 - 80000,F,Twenties,JAPAN,Social and Community Service Managers,3
70,MERCEDES-BENZ,C250,2013,30001.0,1,0,?,M,Seventies,GERMANY,Natural Sciences Managers,3
80,PORSCHE,CAYMAN,2008,35001.0,0,0,?,M,Seventies,GERMANY,"Farmers, Ranchers, and Other Agricultural Managers",3
92,PORSCHE,CAYMAN,2007,30001.0,0,1,120001 - 140000,M,Thirties,GERMANY,Sales Managers,3
134,DODGE,CHALLENGER SRT-8,2008,25001.0,1,1,80001 - 100000,U,Forties,UNITED STATES,Marine Engineers and Naval Architects,3
153,MERCEDES-BENZ,C250,2012,25001.0,1,1,100001 - 120000,F,Fifties,GERMANY,Top Executives,3
178,PORSCHE,911,2009,55001.0,0,0,?,M,Thirties,GERMANY,Technical Writers,3
185,MERCEDES-BENZ,C63 AMG,2010,45001.0,0,1,40001 - 60000,M,Twenties,GERMANY,"Bailiffs, Correctional Officers, and Jailers",3
233,DODGE,CHALLENGER SRT-8,2009,30001.0,1,1,40001 - 60000,M,Sixties,UNITED STATES,Terrazzo Workers and Finishers,3
257,MERCEDES-BENZ,C250,2013,35001.0,1,1,160001 - 180000,F,Forties,GERMANY,"Pediatricians, General",3
291,MERCEDES-BENZ,C250,2012,30001.0,1,0,?,M,Forties,GERMANY,"Secondary School Teachers, Except Special and Career/Technical Education",3
315,ACURA,ZDX,2010,30001.0,0,0,0 - 20000,M,Forties,JAPAN,Stockers and Order Fillers,3
341,DODGE,CHALLENGER SRT-8,2011,30001.0,0,0,?,M,Twenties,UNITED STATES,"Agricultural Sciences Teachers, Postsecondary",3
356,PORSCHE,CAYMAN,2010,35001.0,0,1,80001 - 100000,M,Thirties,GERMANY,Marine Engineers and Naval Architects,3
360,SUBARU,BRZ,2013,25001.0,0,1,40001 - 60000,M,Forties,JAPAN,Hoist and Winch Operators,3
374,MERCEDES-BENZ,C250,2012,30001.0,1,1,60001 - 80000,M,Sixties,GERMANY,"Surveyors, Cartographers, and Photogrammetrists",3
395,PORSCHE,911,2004,35001.0,1,0,140001 - 160000,F,Thirties,GERMANY,Architectural and Engineering Managers,3
401,PORSCHE,CAYMAN,2007,25001.0,1,0,?,M,Sixties,GERMANY,Postsecondary Teachers,3
440,MERCEDES-BENZ,C250,2013,30001.0,0,1,100001 - 120000,F,Fifties,GERMANY,Human Resources Managers,3
457,LEXUS,SC 430,2005,25001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Chemists,3
475,LEXUS,SC 430,2008,30001.0,1,0,?,M,Seventies,JAPAN,Agricultural and Food Scientists,3
495,PORSCHE,911,2007,40001.0,1,1,200001+,M,Fifties,GERMANY,General Internal Medicine Physicians,3
501,MERCEDES-BENZ,C250,2012,25001.0,1,1,100001 - 120000,M,Thirties,GERMANY,Nurse Midwives,3
527,PORSCHE,911,2008,55001.0,1,1,120001 - 140000,M,Fifties,GERMANY,Sales Managers,3
555,PORSCHE,CAYMAN,2008,30001.0,0,1,160001 - 180000,M,Forties,GERMANY,Nurse Anesthetists,3
568,MERCEDES-BENZ,C250,2013,30001.0,1,1,0 - 20000,M,Sixties,GERMANY,"Pressers, Textile, Garment, and Related Materials",3
591,MERCEDES-BENZ,C63 AMG,2009,35001.0,1,1,40001 - 60000,M,Twenties,GERMANY,"Tax Examiners and Collectors, and Revenue Agents",3
627,DODGE,CHALLENGER SRT-8,2009,30001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Locomotive Engineers and Operators,3
686,PORSCHE,CAYMAN,2009,35001.0,0,0,200001+,M,Thirties,GERMANY,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
689,MERCEDES-BENZ,C250,2012,30001.0,0,1,100001 - 120000,F,Forties,GERMANY,Training and Development Managers,3
714,CADILLAC,ATS,2013,30001.0,1,1,20001 - 40000,F,Fifties,UNITED STATES,Emergency Medical Technicians and Paramedics,3
729,DODGE,CHALLENGER SRT-8,2010,30001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Industrial Machinery Mechanics,3
734,ACURA,ZDX,2010,25001.0,1,1,200001+,F,Thirties,JAPAN,General Internal Medicine Physicians,3
744,PORSCHE,911,2006,40001.0,1,1,60001 - 80000,M,Thirties,GERMANY,Gas Compressor and Gas Pumping Station Operators,3
748,MERCEDES-BENZ,C250,2012,30001.0,1,1,200001+,M,Forties,GERMANY,Family Medicine Physicians,3
750,PORSCHE,911,2011,75001.0,1,0,?,M,Fifties,GERMANY,Transportation Inspectors,3
809,MERCEDES-BENZ,C250,2013,25001.0,1,1,40001 - 60000,F,Sixties,GERMANY,Athletic Trainers,3
840,DODGE,CHALLENGER SRT-8,2012,35001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Septic Tank Servicers and Sewer Pipe Cleaners,3
881,PORSCHE,911,2008,45001.0,1,1,140001 - 160000,F,Forties,GERMANY,"Airline Pilots, Copilots, and Flight Engineers",3
900,MERCEDES-BENZ,C250,2013,30001.0,1,1,100001 - 120000,U,Forties,GERMANY,Nurse Midwives,3
902,PORSCHE,CAYMAN,2006,35001.0,0,0,?,M,Twenties,GERMANY,First-Line Supervisors of Retail Sales Workers,3
909,PORSCHE,CAYMAN,2007,35001.0,1,1,100001 - 120000,M,Thirties,GERMANY,Sales Engineers,3
910,MERCEDES-BENZ,C250,2012,25001.0,0,1,80001 - 100000,F,Forties,GERMANY,Radiation Therapists,3
925,MERCEDES-BENZ,C350,2012,40001.0,0,0,?,M,Forties,GERMANY,Medical Transcriptionists,3
931,PORSCHE,CAYMAN,2008,35001.0,1,1,140001 - 160000,M,Twenties,GERMANY,Computer and Information Systems Managers,3
966,PORSCHE,911,2009,65001.0,0,1,200001+,M,Forties,GERMANY,Family Medicine Physicians,3
981,MERCEDES-BENZ,C63 AMG,2012,55001.0,1,0,?,M,Twenties,GERMANY,Computer Network Support Specialists,3
1001,MERCEDES-BENZ,C250,2012,30001.0,1,1,140001 - 160000,F,Thirties,GERMANY,Computer and Information Systems Managers,3
1042,PORSCHE,CAYMAN,2006,25001.0,1,1,100001 - 120000,M,Fifties,GERMANY,"Physical Scientists, All Other",3
1066,MERCEDES-BENZ,C250,2012,30001.0,0,0,?,F,Forties,GERMANY,Couriers and Messengers,3
1078,DODGE,CHALLENGER SRT-8,2010,30001.0,0,1,60001 - 80000,U,Thirties,UNITED STATES,Transportation Inspectors,3
1101,ACURA,ZDX,2011,30001.0,0,1,100001 - 120000,M,Forties,JAPAN,Human Resources Managers,3
1146,ACURA,ZDX,2010,25001.0,0,1,40001 - 60000,U,Twenties,JAPAN,Lodging Managers,3
1148,CADILLAC,ATS,2013,30001.0,0,0,100001 - 120000,M,Thirties,UNITED STATES,Chemical Engineers,3
1201,PORSCHE,911,2005,45001.0,0,1,100001 - 120000,M,Forties,GERMANY,Training and Development Managers,3
1209,JAGUAR,XKR,2007,40001.0,1,1,200001+,M,Thirties,UNITED KINGDOM,General Internal Medicine Physicians,3
1231,MERCEDES-BENZ,C250,2013,25001.0,0,0,?,M,Thirties,GERMANY,"Engineers, All Other",3
1285,PORSCHE,CAYMAN,2007,30001.0,0,1,100001 - 120000,M,Thirties,GERMANY,Nurse Practitioners,3
1288,DODGE,CHALLENGER SRT-8,2011,35001.0,1,1,180001 - 200000,M,Forties,UNITED STATES,Chief Executives,3
1303,LEXUS,SC 430,2006,25001.0,1,0,?,M,Sixties,JAPAN,Communications Equipment Operators,3
1335,PORSCHE,911,2007,50001.0,0,1,200001+,M,Forties,GERMANY,Family Medicine Physicians,3
1343,MERCEDES-BENZ,C63 AMG,2010,40001.0,1,1,60001 - 80000,U,Thirties,GERMANY,Chemists and Materials Scientists,3
1352,PORSCHE,911,2009,50001.0,1,1,100001 - 120000,M,Sixties,GERMANY,Optometrists,3
1392,MERCEDES-BENZ,C250,2012,25001.0,1,1,?,M,Fifties,GERMANY,"Locker Room, Coatroom, and Dressing Room Attendants",3
1423,MERCEDES-BENZ,C250,2012,30001.0,1,0,100001 - 120000,F,Thirties,GERMANY,Computer Hardware Engineers,3
1457,DODGE,CHALLENGER SRT-8,2009,30001.0,1,1,120001 - 140000,M,Fifties,UNITED STATES,Purchasing Managers,3
1458,PORSCHE,CAYMAN,2010,35001.0,0,1,60001 - 80000,M,HundredPlus,GERMANY,Transit and Railroad Police,3
1470,DODGE,CHALLENGER SRT-8,2008,25001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Postal Service Mail Carriers,3
1472,MERCEDES-BENZ,C250,2013,30001.0,1,0,?,F,Sixties,GERMANY,"Architecture Teachers, Postsecondary",3
1493,MERCEDES-BENZ,C250,2013,35001.0,1,1,100001 - 120000,M,Forties,GERMANY,Physician Assistants,3
1543,PORSCHE,CAYMAN,2008,35001.0,0,0,?,F,Forties,GERMANY,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3
1566,PORSCHE,911,2004,30001.0,1,1,200001+,M,Thirties,GERMANY,General Internal Medicine Physicians,3
1589,SUBARU,BRZ,2013,25001.0,0,1,80001 - 100000,F,Thirties,JAPAN,Social Scientists and Related Workers,3
1590,PORSCHE,911,2011,65001.0,1,1,200001+,M,Fifties,GERMANY,Family Medicine Physicians,3
1600,PORSCHE,CAYMAN,2007,25001.0,0,1,80001 - 100000,M,Fifties,GERMANY,"Political Science Teachers, Postsecondary",3
1617,PORSCHE,911,2007,40001.0,0,0,?,M,Sixties,GERMANY,Chief Executives,3
1702,MERCEDES-BENZ,C250,2013,30001.0,0,1,100001 - 120000,F,Forties,GERMANY,"Economics Teachers, Postsecondary",3
1705,MERCEDES-BENZ,C63 AMG,2009,35001.0,1,1,160001 - 180000,M,Twenties,GERMANY,Nurse Anesthetists,3
