purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
JEEP,WRANGLER,2008,20001.0,0,1,40001 - 60000,F,Thirties,UNITED STATES,Electro-Mechanical and Mechatronics Technologists and Technicians,2
FORD,MUSTANG,2007,15001.0,0,1,80001 - 100000,M,Twenties,UNITED STATES,Financial Examiners,2
PORSCHE,BOXSTER,2007,20001.0,0,0,?,M,Sixties,GERMANY,"Bookkeeping, Accounting, and Auditing Clerks",2
JEEP,WRANGLER,2007,15001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Stonemasons,2
VOLKSWAGEN,BEETLE,2006,10001.0,0,1,40001 - 60000,F,Forties,GERMANY,Community and Social Service Occupations,2
CHEVROLET,CORVETTE,1998,10001.0,1,0,20001 - 40000,M,Twenties,UNITED STATES,Bakers,2
FORD,MUSTANG,2004,5001.0,0,1,20001 - 40000,F,Forties,UNITED STATES,Waiters and Waitresses,2
FORD,MUSTANG,2005,15001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Chemical Equipment Operators and Tenders,2
MAZDA,MX-5 MIATA,2008,10001.0,1,1,80001 - 100000,F,Forties,JAPAN,"Power Plant Operators, Distributors, and Dispatchers",2
MAZDA,MX-5 MIATA,2006,10001.0,0,1,60001 - 80000,M,Forties,JAPAN,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2
BMW,Z4,2004,15001.0,0,1,40001 - 60000,F,Fifties,GERMANY,Logging Equipment Operators,2
FORD,MUSTANG,2007,10001.0,0,1,20001 - 40000,M,UnderTwenty,UNITED STATES,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2
CADILLAC,XLR,2006,25001.0,0,1,0 - 20000,F,Fifties,UNITED STATES,Building and Grounds Cleaning and Maintenance Occupations,2
FORD,MUSTANG,2003,5001.0,0,1,0 - 20000,M,Twenties,UNITED STATES,Photographers,2
FORD,MUSTANG,2006,10001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Costume Attendants,2
HONDA,S2000,2005,20001.0,0,1,20001 - 40000,M,Twenties,JAPAN,"Metal Workers and Plastic Workers, All Other",2
FORD,MUSTANG,2006,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Floor Sanders and Finishers,2
FORD,MUSTANG,2007,15001.0,1,0,?,M,Fifties,UNITED STATES,Chief Executives,2
JEEP,WRANGLER,2002,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,"Baggage Porters, Bellhops, and Concierges",2
JEEP,WRANGLER,2003,20001.0,0,1,120001 - 140000,M,Thirties,UNITED STATES,Advertising and Promotions Managers,2
FORD,MUSTANG,2003,10001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Bailiffs,2
VOLKSWAGEN,BEETLE,2004,10001.0,0,1,200001+,U,Forties,GERMANY,General Internal Medicine Physicians,2
VOLKSWAGEN,BEETLE,2006,15001.0,1,1,20001 - 40000,F,Forties,GERMANY,"Tailors, Dressmakers, and Sewers",2
FORD,MUSTANG,2005,10001.0,0,1,20001 - 40000,U,Twenties,UNITED STATES,"Office Clerks, General",2
CHEVROLET,CORVETTE,2003,20001.0,1,1,160001 - 180000,M,Fifties,UNITED STATES,Nurse Anesthetists,2
CHEVROLET,CORVETTE,2005,25001.0,0,1,40001 - 60000,F,Sixties,UNITED STATES,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2
FORD,MUSTANG,2005,10001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,"Metal Workers and Plastic Workers, All Other",2
JEEP,WRANGLER,2008,15001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Occupational Therapy Assistants and Aides,2
FORD,MUSTANG,2007,10001.0,0,1,0 - 20000,F,Forties,UNITED STATES,Material Moving Workers,2
FORD,MUSTANG,2006,15001.0,0,1,100001 - 120000,M,Fifties,UNITED STATES,Nuclear Engineers,2
JEEP,WRANGLER,2006,15001.0,1,1,20001 - 40000,F,UnderTwenty,UNITED STATES,Adhesive Bonding Machine Operators and Tenders,2
CHEVROLET,CORVETTE,2006,20001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Clergy,2
VOLKSWAGEN,EOS,2008,10001.0,1,1,80001 - 100000,M,Fifties,GERMANY,Veterinarians,2
CHEVROLET,CORVETTE,2004,20001.0,0,1,0 - 20000,M,Seventies,UNITED STATES,"School Bus Monitors and Protective Service Workers, All Other",2
VOLKSWAGEN,BEETLE,2005,10001.0,0,1,20001 - 40000,M,Forties,GERMANY,Animal Trainers,2
JEEP,WRANGLER,2007,15001.0,1,1,0 - 20000,F,Forties,UNITED STATES,"Cooks, Restaurant",2
JEEP,WRANGLER,2004,15001.0,0,1,60001 - 80000,M,Fifties,UNITED STATES,"Career/Technical Education Teachers, Secondary School",2
FORD,MUSTANG,2006,10001.0,0,1,100001 - 120000,M,Twenties,UNITED STATES,Nurse Practitioners,2
PORSCHE,BOXSTER,2002,15001.0,1,1,80001 - 100000,M,Forties,GERMANY,"Biological Scientists, All Other",2
FORD,MUSTANG,2007,10001.0,1,1,200001+,F,Thirties,UNITED STATES,Family Medicine Physicians,2
FORD,MUSTANG,2006,10001.0,0,1,20001 - 40000,M,Thirties,UNITED STATES,Machine Feeders and Offbearers,2
FORD,MUSTANG,2004,15001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Miscellaneous Media and Communication Workers,2
VOLKSWAGEN,BEETLE,2008,10001.0,0,1,40001 - 60000,F,UnderTwenty,GERMANY,Riggers,2
FORD,MUSTANG,2006,15001.0,1,1,40001 - 60000,U,Thirties,UNITED STATES,Graphic Designers,2
CHEVROLET,CORVETTE,2004,30001.0,0,1,0 - 20000,M,Sixties,UNITED STATES,Recreation and Fitness Workers,2
FORD,MUSTANG,2007,15001.0,0,1,20001 - 40000,U,Twenties,UNITED STATES,Butchers and Meat Cutters,2
JEEP,WRANGLER,2007,15001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,Paperhangers,2
VOLKSWAGEN,EOS,2008,15001.0,1,1,20001 - 40000,F,Thirties,GERMANY,Pharmacy Aides,2
FORD,MUSTANG,2005,15001.0,0,0,?,F,Thirties,UNITED STATES,Agricultural and Food Science Technicians,2
VOLKSWAGEN,BEETLE,2006,10001.0,0,1,40001 - 60000,F,Twenties,GERMANY,Reinforcing Iron and Rebar Workers,2
FORD,MUSTANG,2004,10001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Chefs and Head Cooks,2
FORD,MUSTANG,2007,10001.0,0,0,?,F,Forties,UNITED STATES,Subway and Streetcar Operators,2
VOLKSWAGEN,BEETLE,2009,15001.0,1,1,40001 - 60000,F,Sixties,GERMANY,Plasterers and Stucco Masons,2
JEEP,WRANGLER,2006,10001.0,0,1,120001 - 140000,M,Forties,UNITED STATES,Financial Managers,2
FORD,MUSTANG,2006,10001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Tellers,2
FORD,MUSTANG,2005,15001.0,0,1,20001 - 40000,M,Sixties,UNITED STATES,Foundry Mold and Coremakers,2
PORSCHE,BOXSTER,2006,25001.0,0,1,200001+,M,Thirties,GERMANY,Family Medicine Physicians,2
MAZDA,MX-5 MIATA,2007,15001.0,1,1,80001 - 100000,M,Thirties,JAPAN,Genetic Counselors,2
VOLKSWAGEN,BEETLE,2006,10001.0,1,1,120001 - 140000,M,Fifties,GERMANY,Marketing Managers,2
VOLKSWAGEN,BEETLE,2008,10001.0,1,1,0 - 20000,F,Forties,GERMANY,Food Preparation and Serving Related Occupations,2
MAZDA,MX-5 MIATA,2004,10001.0,0,0,20001 - 40000,M,Thirties,JAPAN,Helpers--Electricians,2
HONDA,S2000,2004,20001.0,1,1,40001 - 60000,M,Thirties,JAPAN,Clinical Laboratory Technologists and Technicians,2
JEEP,WRANGLER,2007,15001.0,0,1,40001 - 60000,F,Fifties,UNITED STATES,"Tax Examiners, Collectors and Preparers, and Revenue Agents",2
MAZDA,MX-5 MIATA,2006,10001.0,0,0,0 - 20000,M,Fifties,JAPAN,"Textile, Apparel, and Furnishings Workers",2
JEEP,WRANGLER,2004,15001.0,0,0,?,M,Forties,UNITED STATES,Podiatrists,2
VOLKSWAGEN,BEETLE,2003,5001.0,1,0,0 - 20000,M,UnderTwenty,GERMANY,"Substitute Teachers, Short-Term",2
FORD,MUSTANG,2008,10001.0,0,1,20001 - 40000,M,Thirties,UNITED STATES,Emergency Medical Technicians and Paramedics,2
FORD,MUSTANG,2007,15001.0,0,1,60001 - 80000,M,Fifties,UNITED STATES,"Education and Library Science Teachers, Postsecondary",2
FORD,MUSTANG,2006,15001.0,0,0,?,M,Fifties,UNITED STATES,"Engineering Technologists and Technicians, Except Drafters",2
MAZDA,MX-5 MIATA,2006,10001.0,1,1,20001 - 40000,M,Fifties,JAPAN,"Helpers, Construction Trades, All Other",2
JEEP,WRANGLER,2003,10001.0,1,1,140001 - 160000,M,Forties,UNITED STATES,"Airline Pilots, Copilots, and Flight Engineers",2
FORD,MUSTANG,2003,10001.0,0,0,?,M,Fifties,UNITED STATES,First-Line Supervisors of Sales Workers,2
VOLKSWAGEN,EOS,2007,15001.0,1,1,40001 - 60000,M,Forties,GERMANY,Tax Preparers,2
CHEVROLET,CORVETTE,2003,20001.0,0,1,0 - 20000,M,Fifties,UNITED STATES,Building and Grounds Cleaning and Maintenance Occupations,2
MAZDA,MX-5 MIATA,2009,15001.0,0,1,40001 - 60000,F,HundredPlus,JAPAN,Supervisors of Transportation and Material Moving Workers,2
FORD,MUSTANG,2005,10001.0,0,1,40001 - 60000,M,UnderTwenty,UNITED STATES,Drywall and Ceiling Tile Installers,2
FORD,MUSTANG,2007,10001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,"Communications Equipment Operators, All Other",2
VOLKSWAGEN,BEETLE,2005,10001.0,0,0,?,F,Forties,GERMANY,Computer Programmers,2
VOLKSWAGEN,BEETLE,2007,10001.0,0,1,0 - 20000,U,Forties,GERMANY,"Textile, Apparel, and Furnishings Workers, All Other",2
FORD,MUSTANG,2006,10001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,Mechanical Drafters,2
FORD,MUSTANG,2006,15001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Healthcare Practitioners and Technical Occupations,2
JEEP,WRANGLER,2006,15001.0,0,1,80001 - 100000,M,Forties,UNITED STATES,"Physical Sciences Teachers, Postsecondary",2
FORD,MUSTANG,2003,15001.0,1,1,20001 - 40000,M,Thirties,UNITED STATES,"Forest, Conservation, and Logging Workers",2
MAZDA,MX-5 MIATA,2007,10001.0,0,0,?,M,Sixties,JAPAN,Transportation Inspectors,2
FORD,MUSTANG,2006,10001.0,0,0,60001 - 80000,M,Thirties,UNITED STATES,Postmasters and Mail Superintendents,2
JEEP,WRANGLER,2008,15001.0,1,1,20001 - 40000,M,Thirties,UNITED STATES,Semiconductor Processing Technicians,2
VOLKSWAGEN,BEETLE,2009,10001.0,1,1,20001 - 40000,F,Twenties,GERMANY,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",2
FORD,MUSTANG,2005,10001.0,0,1,20001 - 40000,F,Forties,UNITED STATES,"Religious Workers, All Other",2
CHEVROLET,CORVETTE,2004,20001.0,0,1,100001 - 120000,M,Thirties,UNITED STATES,Software Developers and Software Quality Assurance Analysts and Testers,2
FORD,MUSTANG,2005,10001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Clinical Laboratory Technologists and Technicians,2
VOLKSWAGEN,CABRIO,2002,10001.0,0,0,0 - 20000,U,Forties,GERMANY,"Substitute Teachers, Short-Term",2
