,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
6,MERCEDES-BENZ,C300,2010,25001.0,0,1,20001 - 40000,U,Thirties,GERMANY,"Installation, Maintenance, and Repair Workers, All Other",4
7,MERCEDES-BENZ,C300,2010,20001.0,1,1,80001 - 100000,U,Forties,GERMANY,Agricultural Engineers,4
12,DODGE,CHALLENGER,2009,20001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Food Scientists and Technologists,4
19,DODGE,CHALLENGER,2011,20001.0,1,1,40001 - 60000,F,Forties,UNITED STATES,Riggers,4
23,DODGE,CHALLENGER,2010,20001.0,1,1,100001 - 120000,M,Thirties,UNITED STATES,Optometrists,4
25,MERCEDES-BENZ,C300,2010,20001.0,0,1,120001 - 140000,M,Fifties,GERMANY,Air Traffic Controllers,4
39,MERCEDES-BENZ,C300,2010,25001.0,1,1,80001 - 100000,F,Thirties,GERMANY,First-Line Supervisors of Police and Detectives,4
45,MERCEDES-BENZ,C300,2008,20001.0,1,1,80001 - 100000,M,Fifties,GERMANY,"Social Sciences Teachers, Postsecondary",4
48,MERCEDES-BENZ,C300,2009,20001.0,0,1,40001 - 60000,M,Sixties,GERMANY,"Underground Mining Machine Operators and Extraction Workers, All Other",4
49,DODGE,CHALLENGER,2013,25001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,"Baggage Porters, Bellhops, and Concierges",4
55,MERCEDES-BENZ,C300,2010,25001.0,0,1,60001 - 80000,F,Forties,GERMANY,Public Relations Specialists,4
57,HYUNDAI,VELOSTER,2012,15001.0,1,1,100001 - 120000,M,Fifties,SOUTH KOREA,Miscellaneous Physical Scientists,4
60,MERCEDES-BENZ,C300,2011,25001.0,0,1,60001 - 80000,U,Fifties,GERMANY,Police and Sheriff's Patrol Officers,4
64,MERCEDES-BENZ,C300,2010,20001.0,0,1,80001 - 100000,M,Twenties,GERMANY,"Social Scientists and Related Workers, All Other",4
73,MERCEDES-BENZ,C300,2011,25001.0,1,1,60001 - 80000,M,Fifties,GERMANY,Human Resources Specialists,4
74,MERCEDES-BENZ,C300,2011,20001.0,0,1,60001 - 80000,M,Fifties,GERMANY,Urban and Regional Planners,4
89,MERCEDES-BENZ,C300,2010,20001.0,1,1,160001 - 180000,F,Thirties,GERMANY,Nurse Anesthetists,4
101,MERCEDES-BENZ,C300,2008,20001.0,0,1,40001 - 60000,F,Thirties,GERMANY,Travel Agents,4
105,MERCEDES-BENZ,C300,2009,20001.0,1,1,60001 - 80000,U,Forties,GERMANY,First-Line Supervisors of Non-Retail Sales Workers,4
112,DODGE,CHALLENGER,2010,25001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Athletic Trainers,4
114,SCION,FR-S,2013,20001.0,1,1,80001 - 100000,F,Fifties,UNITED STATES,Engineers,4
115,MERCEDES-BENZ,C300,2011,25001.0,0,1,20001 - 40000,F,Thirties,GERMANY,All Occupations,4
116,MERCEDES-BENZ,C350,2011,25001.0,0,1,80001 - 100000,F,Forties,GERMANY,Mechanical Engineers,4
123,MERCEDES-BENZ,C300,2011,25001.0,1,1,60001 - 80000,F,Thirties,GERMANY,Transit and Railroad Police,4
124,SCION,TC,2014,20001.0,0,1,40001 - 60000,U,Forties,UNITED STATES,Librarians and Media Collections Specialists,4
126,MERCEDES-BENZ,C300,2011,20001.0,1,1,140001 - 160000,M,Forties,GERMANY,"Airline Pilots, Copilots, and Flight Engineers",4
127,SCION,TC,2012,15001.0,1,1,60001 - 80000,M,Thirties,UNITED STATES,Occupational Therapy Assistants,4
128,MERCEDES-BENZ,C300,2010,20001.0,0,1,80001 - 100000,F,Sixties,GERMANY,Mechanical Engineers,4
129,MERCEDES-BENZ,C300,2008,20001.0,0,1,40001 - 60000,F,Fifties,GERMANY,Surgical Technologists,4
136,MERCEDES-BENZ,C300,2011,25001.0,1,0,?,F,Forties,GERMANY,Sales and Related Occupations,4
140,MERCEDES-BENZ,C350,2007,20001.0,0,1,40001 - 60000,F,Sixties,GERMANY,Occupational Therapy Assistants and Aides,4
149,MERCEDES-BENZ,C300,2009,20001.0,1,1,0 - 20000,F,Eighties,GERMANY,"Entertainers and Performers, Sports and Related Workers",4
157,DODGE,CHALLENGER,2010,20001.0,0,1,40001 - 60000,F,Twenties,UNITED STATES,Crane and Tower Operators,4
159,MERCEDES-BENZ,C300,2011,30001.0,1,1,40001 - 60000,U,Twenties,GERMANY,"Drywall Installers, Ceiling Tile Installers, and Tapers",4
165,MERCEDES-BENZ,C300,2009,20001.0,1,1,40001 - 60000,M,Twenties,GERMANY,Engine and Other Machine Assemblers,4
169,MERCEDES-BENZ,C300,2011,25001.0,1,1,140001 - 160000,M,Forties,GERMANY,"Airline Pilots, Copilots, and Flight Engineers",4
170,MERCEDES-BENZ,C300,2011,25001.0,0,1,?,M,Forties,GERMANY,Miscellaneous Healthcare Diagnosing or Treating Practitioners,4
182,MERCEDES-BENZ,C350,2008,20001.0,1,1,40001 - 60000,F,Forties,GERMANY,Water and Wastewater Treatment Plant and System Operators,4
190,MERCEDES-BENZ,C300,2010,20001.0,1,1,60001 - 80000,M,Fifties,GERMANY,Social and Community Service Managers,4
202,MERCEDES-BENZ,C300,2010,20001.0,0,0,?,M,Thirties,GERMANY,Crossing Guards and Flaggers,4
207,MERCEDES-BENZ,C300,2012,30001.0,0,1,120001 - 140000,U,Fifties,GERMANY,Petroleum Engineers,4
211,MERCEDES-BENZ,C300,2010,25001.0,1,0,60001 - 80000,M,Twenties,GERMANY,Public Relations Specialists,4
212,MERCEDES-BENZ,C300,2010,20001.0,0,1,40001 - 60000,U,Thirties,GERMANY,"Carpet, Floor, and Tile Installers and Finishers",4
